id,content_pagesID,content_text,image,NType,usersID,Approved,SOrder,MNType,description
1,45,<p>Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item </p><p>&nbsp;</p><p>Test The News Item&nbsp; Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item Test The News Item </p>,,Public,0,No,0,Article,
3,46,<br />   <strong>&nbsp;&nbsp;&nbsp; &#1601;&#1585;&#1589; &#1575;&#1604;&#1605;&#1588;&#1575;&#1585;&#1610;&#1593; &#1575;&#1604;&#1605;&#1588;&#1578;&#1585;&#1603;&#1577;</strong><br /> &#1582;&#1583;&#1605;&#1575;&#1578; &#1603;&#1575;&#1576;&#1585;&#1610;&#1603;&#1608;&#1606; &#1576;&#1575;&#1587;&#1578;&#1608;&#1585;&#1575;&#1604; &#1610;&#1605;&#1603;&#1606;&#1607;&#1575; &#1573;&#1578;&#1575;&#1581;&#1577; &#1575;&#1604;&#1601;&#1585;&#1589; &#1604;&#1604;&#1593;&#1605;&#1604;&#1575;&#1569; &#1604;&#1604;&#1605;&#1588;&#1575;&#1585;&#1603;&#1577; &#1601;&#1610; &#1602;&#1591;&#1575;&#1593; &#1575;&#1604;&#1605;&#1575;&#1593;&#1586; &#1575;&#1604;&#1605;&#1586;&#1583;&#1607;&#1585; &#1575;&#1604;&#1605;&#1581;&#1604;&#1610; &#1608;&#1604;&#1604;&#1578;&#1589;&#1583;&#1610;&#1585;. &#1608;&#1606;&#1581;&#1606; &#1606;&#1578;&#1591;&#1604;&#1593; &#1573;&#1604;&#1609; &#1576;&#1606;&#1575;&#1569; &#1593;&#1604;&#1575;&#1602;&#1575;&#1578; &#1593;&#1605;&#1604; &#1605;&#1593; &#1575;&#1604;&#1605;&#1586;&#1575;&#1585;&#1593;&#1610;&#1606; &#1608;&#1575;&#1604;&#1593;&#1575;&#1605;&#1604;&#1610;&#1606; &#1601;&#1610; &#1585;&#1593;&#1610; &#1575;&#1604;&#1605;&#1575;&#1593;&#1586;.<br /> &#1608;&#1604;&#1583;&#1610;&#1606;&#1575; &#1581;&#1575;&#1604;&#1610;&#1575;&#1611; &#1593;&#1583;&#1577; &#1605;&#1588;&#1575;&#1585;&#1610;&#1593; &#1605;&#1588;&#1578;&#1585;&#1603;&#1577; &#1590;&#1605;&#1606; &#1608;&#1604;&#1575;&#1610;&#1578;&#1610; &#1606;&#1610;&#1608; &#1587;&#1575;&#1608;&#1579; &#1608;&#1610;&#1604;&#1586; &#1608;&#1603;&#1608;&#1610;&#1606;&#1586;&#1604;&#1575;&#1606;&#1583; &#1578;&#1602;&#1583;&#1605; &#1605;&#1608;&#1575;&#1585;&#1583; &#1571;&#1585;&#1576;&#1575;&#1581; &#1605;&#1588;&#1578;&#1585;&#1603;&#1577; &#1605;&#1593; &#1575;&#1604;&#1605;&#1586;&#1575;&#1585;&#1593;&#1610;&#1606;. &#1575;&#1578;&#1589;&#1604;&#1608;&#1575; &#1576;&#1606;&#1575; &#1604;&#1604;&#1605;&#1586;&#1610;&#1583; &#1605;&#1606; &#1575;&#1604;&#1605;&#1593;&#1604;&#1608;&#1605;&#1575;&#1578;&#1548; &#1608;&#1587;&#1606;&#1576;&#1610;&#1617;&#1606; &#1604;&#1603;&#1605; &#1603;&#1610;&#1601;&#1610;&#1577; &#1586;&#1610;&#1575;&#1583;&#1577; &#1575;&#1604;&#1573;&#1606;&#1578;&#1575;&#1580;&#1610;&#1577; &#1608;&#1575;&#1604;&#1571;&#1585;&#1576;&#1575;&#1581; &#1604;&#1593;&#1605;&#1604;&#1603;&#1605; &#1575;&#1604;&#1578;&#1580;&#1575;&#1585;&#1610; &#1575;&#1604;&#1585;&#1610;&#1601;&#1610;.<br />   ,,Public,0,No,0,Article,
4,51,"Capricorn Pastoral Live Goat Specials: <ul><li class=""MainText"">Currently we have large numbers of white head Boer does and F1 Boer does for breeding available.</li><li class=""MainText"">Limited numbers of F3-F4 Boer does available for breeding</li><li class=""MainText"">Large numbers of rangeland (feral) goats available</li><li class=""MainText"">Diary goats also available in limited numbers</li></ul>",,Public,0,No,0,Article,
5,52,"Capricorn Pastoral Live Goat Specials: <ul><li class=""MainText"">Currently we have large numbers of white head Boer does and F1 Boer does for breeding available.</li><li class=""MainText"">Limited numbers of F3-F4 Boer does available for breeding</li><li class=""MainText"">Large numbers of rangeland (feral) goats available</li><li class=""MainText"">Diary goats also available in limited numbers</li></ul>",,Public,0,No,0,Article,
6,92,"Welcome to the Yamba Business Network. This website is dedicated to promoting business in the town of Yamba, NSW, Australia. We are in the process of signing local businesses up to the site and basically giving them their own website off the main address of yambansw.net, essentially creating a mini network of sites to promote the town of yamba and its attractions on the internet. We are in a pre-launch stage at the moment but we will be open to the public soon. <br />                                                                ",,Public,0,No,0,Article,"Welcome to the Yamba Business Network. This website is dedicated to promoting business in the town of Yamba, NSW, Australia."
7,93,etc etc....<br />                ,,Public,0,No,0,Article,
8,152,"The Grafton Business Network lets businesses advertise for free. You can sign up by following the Register Link above. You will be given your own subdomain, on which you can edit the details. <br />",,Public,0,No,0,Article,Business Network Launch
9,167,"We are proud to announce the opening of the Maclean Business Network. Just go to the registration page, fill in your details and your in. To obtain your own sub-domain just log in with your email address and password then add a description in the user details area and it should automatically appear.<br />                ",,Public,0,No,0,Article,
10,169,"Creative Web Logic have launched the <a href=""http://www.maclean-nsw.com"">Maclean</a>  / <a href=""http://www.yambansw.net"">Yamba</a>  / <a href=""http://www.grafton-nsw.com"">Grafton</a>  business networks. Where businesses can sign up and get their own sub domain for free!! An example of this would be pats-form-work.maclean-nsw.com. You can even edit your own details as you wish!!<br />",,Public,0,No,0,Article,
11,176,test,,Public,0,No,0,Article,
12,180,"<p>Seeing the viability in niche market locality based directories we are launching a number of sites using the directory version of Bubble CMS Lite which enables rapid deployment of business based directories. We feel that an interlinking system of town based directories feeding into region and state named domains will create a grass roots approach to search engine marketing. We are also enabling small regional businesses to create a free internet presence.</p><p>So far the directories include:-</p><ul><li>&nbsp;<a href=""http://www.ozbizsearch.com"">http://www.ozbizsearch.com</a> </li><ul><li>The State Of NSW</li><ul><li>Clarence Valley<br /></li><ul><li><a href=""http://www.yambansw.net"">http://www.yambansw.net</a> </li></ul><ul><li><a href=""http://www.maclean-nsw.com"">http://www.maclean-nsw.com</a> </li><li><a href=""http://www.grafton-nsw.com"">http://www.grafton-nsw.com</a></li></ul></ul></ul></ul>Future improvements include organizing the distribution of businesses automatically through the tiers of domains. <br />",,Public,0,Yes,0,Article,Seeing the viability in niche market locality based directories we are launching
